TABLE NO.     4: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   MCMCOBJ
        -9951  1.65734E+00  1.63592E+00  8.42845E-01  2.43930E+00  5.58456E-02  1.87007E-01  2.80947E-03  1.09909E-01  2.62180E-03  1.14326E-02  1.84966E-01 -2.79172E-02  1.48620E-02 -8.16332E-03  1.08698E-01   -2356.88654419283
        -9950  1.63653E+00  1.69474E+00  8.67792E-01  2.36741E+00  5.66766E-02  1.73081E-01 -5.24270E-03  1.29119E-01 -8.01624E-03  2.14199E-02  2.48453E-01  6.04442E-03  2.30690E-02  1.01608E-02  1.18748E-01   -2369.44338766385
        -9949  1.68409E+00  1.56476E+00  6.96623E-01  2.40868E+00  4.63321E-02  1.49845E-01 -9.82559E-03  1.62016E-01 -5.65522E-03  1.30275E-02  2.10713E-01 -1.57984E-02  2.17511E-02  6.44142E-04  1.06153E-01   -2407.54488571820
        -9948  1.66404E+00  1.58529E+00  7.49540E-01  2.36651E+00  4.68016E-02  2.03683E-01 -3.56653E-02  1.91566E-01 -1.84232E-02  3.45799E-02  2.25984E-01 -3.09887E-02  1.50085E-02 -4.39948E-03  1.01564E-01   -2385.84404556330
        -9947  1.57449E+00  1.49438E+00  7.79308E-01  2.41918E+00  4.57539E-02  1.37882E-01 -3.70766E-03  1.53268E-01  3.99523E-03  2.52060E-02  2.25682E-01 -2.73449E-02  7.70983E-03 -2.67821E-03  1.12617E-01   -2344.82835765630
        -9946  1.59226E+00  1.45259E+00  8.48101E-01  2.42519E+00  5.98624E-02  1.39679E-01 -1.91705E-02  1.55185E-01 -1.46236E-02  4.41774E-02  2.43060E-01 -9.47278E-03 -2.36645E-02  1.10006E-02  1.48584E-01   -2312.44454311620
        -9945  1.63778E+00  1.51666E+00  8.99996E-01  2.35852E+00  5.85375E-02  1.30203E-01 -2.96592E-02  1.32902E-01 -5.62824E-03  4.74760E-02  2.15571E-01 -4.89658E-02  2.39387E-02  1.20020E-02  1.43175E-01   -2280.27163188926
        -9944  1.57449E+00  1.49760E+00  8.68678E-01  2.34851E+00  6.11381E-02  1.53813E-01  2.57746E-02  1.59403E-01 -3.88019E-02  3.70648E-02  2.05979E-01 -6.18369E-02  2.55845E-02  4.05078E-02  1.43895E-01   -2259.87846101603
        -9943  1.60495E+00  1.47400E+00  7.93855E-01  2.28938E+00  7.17959E-02  1.99833E-01 -1.56446E-03  1.65371E-01 -3.84091E-02  3.40556E-02  1.77047E-01 -4.02943E-02  6.16846E-02  4.58057E-02  1.35340E-01   -2252.30115088180
        -9942  1.62621E+00  1.49643E+00  8.49421E-01  2.33208E+00  6.34245E-02  1.61014E-01  2.02919E-02  9.96441E-02 -1.13422E-02 -2.63722E-03  2.04152E-01 -8.39866E-03  1.44617E-02  3.36733E-03  1.25134E-01   -2318.29610940680
        -9941  1.61613E+00  1.51377E+00  8.25661E-01  2.37112E+00  6.40893E-02  1.34037E-01 -2.13246E-04  1.43843E-01  7.16646E-03  1.87578E-02  1.54085E-01  9.56298E-03 -7.75119E-03  1.85173E-02  1.03209E-01   -2299.01383307436
        -9940  1.61342E+00  1.59897E+00  8.32422E-01  2.34156E+00  6.39584E-02  1.90613E-01 -5.45642E-02  1.31663E-01 -2.30188E-02  5.84147E-02  2.20191E-01 -4.31010E-02  1.76390E-02  3.46044E-02  1.37788E-01   -2252.15288380113
        -9939  1.58616E+00  1.51929E+00  7.51520E-01  2.38610E+00  6.95078E-02  1.77127E-01  4.58158E-03  1.50961E-01 -1.59502E-03  3.64642E-02  2.12118E-01 -1.40163E-02  4.98266E-02  5.09549E-02  1.79349E-01   -2234.71114863613
        -9938  1.68735E+00  1.59512E+00  8.06209E-01  2.37830E+00  7.48578E-02  2.10931E-01 -1.70591E-02  1.28424E-01  1.41015E-02  3.43706E-02  2.45285E-01 -1.25493E-02  6.86172E-02  8.46165E-02  2.38502E-01   -2230.85506602180
