TABLE NO.     5: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       THETA5       THETA6       THETA7       THETA8       THETA9       THETA10      THETA11      SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   MCMCOBJ
        -9966  3.31211E+00  3.25960E+00 -6.18250E-01 -2.10302E-01  7.27999E-01  1.15324E+00  3.35769E-01  1.90253E-01  6.86087E-01  2.28816E+00  1.05309E-01  1.00000E+00  9.13351E-03  1.60817E-04  8.96272E-03  5.02064E-04 -2.81912E-04  3.41729E-03 -1.44410E-03  4.70128E-04 -1.48612E-03  8.78151E-03   -19429.6147122865
        -9965  3.26915E+00  3.25836E+00 -6.00881E-01 -2.10580E-01  6.73247E-01  1.08992E+00  3.52428E-01  2.09377E-01  6.89556E-01  2.29377E+00  1.05309E-01  1.00000E+00  9.58886E-03  7.06799E-04  8.96966E-03  1.59981E-04 -5.13468E-04  3.76554E-03 -6.38629E-04  6.45099E-04 -1.71515E-03  8.40959E-03   -19402.1894873543
        -9964  3.34321E+00  3.24947E+00 -6.26387E-01 -2.05974E-01  6.99731E-01  1.16073E+00  3.46198E-01  1.84128E-01  6.89481E-01  2.29845E+00  1.04145E-01  1.00000E+00  1.11238E-02  8.66424E-06  9.79059E-03  9.85840E-05 -1.10530E-03  3.81768E-03 -2.12704E-03  2.65654E-04 -1.56664E-03  9.02942E-03   -19446.2849217913
        -9963  3.23218E+00  3.25748E+00 -5.89421E-01 -2.11411E-01  6.64106E-01  1.12221E+00  3.56034E-01  1.92204E-01  6.94037E-01  2.29545E+00  1.05015E-01  1.00000E+00  9.22069E-03 -1.57192E-05  1.22307E-02 -3.22470E-04 -1.78266E-03  3.55077E-03 -8.17607E-04  6.55409E-05 -1.52337E-03  7.46167E-03   -19495.6527912780
        -9962  3.33242E+00  3.25578E+00 -6.21419E-01 -2.10432E-01  7.09839E-01  1.15565E+00  3.47685E-01  1.83806E-01  6.91890E-01  2.29691E+00  1.03146E-01  1.00000E+00  9.54446E-03  3.80157E-04  1.04115E-02 -2.98196E-04 -6.32374E-04  3.35674E-03 -2.02587E-03 -8.70741E-05 -1.68344E-03  8.67860E-03   -19490.8885934206
        -9961  3.31679E+00  3.28212E+00 -6.15053E-01 -2.15335E-01  7.40145E-01  1.15985E+00  3.34274E-01  1.83237E-01  6.89662E-01  2.30508E+00  9.93721E-02  1.00000E+00  8.68318E-03  3.93441E-04  9.93154E-03  2.28069E-04 -6.57491E-04  3.94964E-03 -1.60021E-03  1.21747E-04 -2.27644E-03  8.32512E-03   -19441.7318109059
        -9960  3.33028E+00  3.23591E+00 -6.18939E-01 -2.03871E-01  6.98472E-01  1.12135E+00  3.43528E-01  1.99777E-01  6.92889E-01  2.29887E+00  1.00957E-01  1.00000E+00  1.01492E-02  9.45730E-04  9.47338E-03  5.73544E-05 -6.56889E-05  4.25154E-03 -1.51808E-03  2.74128E-04 -2.19973E-03  7.86955E-03   -19513.8874940023
        -9959  3.28731E+00  3.25719E+00 -6.04458E-01 -2.07347E-01  6.86599E-01  1.15875E+00  3.50517E-01  1.91704E-01  6.94131E-01  2.30160E+00  1.00957E-01  1.00000E+00  9.58020E-03  1.58274E-04  9.59625E-03 -5.24780E-04 -7.60090E-04  4.87186E-03 -1.21266E-03  1.76163E-03 -2.24556E-03  7.68120E-03   -19481.3638315269
        -9958  3.30376E+00  3.29751E+00 -6.12739E-01 -2.20044E-01  6.79476E-01  1.16758E+00  3.54575E-01  1.84703E-01  6.94804E-01  2.30671E+00  1.00957E-01  1.00000E+00  9.08340E-03  4.46378E-04  8.93877E-03 -7.57394E-04 -4.90945E-04  4.42246E-03 -1.79409E-03  1.28960E-03 -1.56593E-03  7.75747E-03   -19519.7206350850
        -9957  3.31385E+00  3.28009E+00 -6.16473E-01 -2.14595E-01  7.24468E-01  1.16142E+00  3.41562E-01  1.86577E-01  6.95281E-01  2.30472E+00  1.00663E-01  1.00000E+00  1.06859E-02 -5.86561E-04  8.08211E-03 -4.36412E-04  1.27521E-04  4.24502E-03 -2.41943E-03  7.35140E-04 -1.74774E-03  8.21887E-03   -19499.8094302437
        -9956  3.27471E+00  3.31720E+00 -6.04424E-01 -2.24296E-01  7.09880E-01  1.18646E+00  3.46607E-01  1.82693E-01  6.99615E-01  2.30847E+00  1.01082E-01  1.00000E+00  1.05819E-02 -3.48585E-04  9.07550E-03  9.79629E-05 -4.05337E-04  4.89313E-03 -2.31003E-03  6.52073E-04 -1.86533E-03  9.12254E-03   -19521.4586400950
        -9955  3.22249E+00  3.29063E+00 -5.87231E-01 -2.18838E-01  7.40631E-01  1.18372E+00  3.31805E-01  1.85572E-01  7.07585E-01  2.30713E+00  1.02947E-01  1.00000E+00  1.07265E-02 -1.42045E-05  7.91482E-03 -4.28700E-04 -5.21292E-04  4.36532E-03 -7.74659E-04  3.07054E-04 -2.21449E-03  8.30311E-03   -19489.9064003499
        -9954  3.34473E+00  3.29760E+00 -6.24371E-01 -2.22285E-01  7.21225E-01  1.17793E+00  3.36993E-01  1.80269E-01  7.10863E-01  2.30515E+00  1.03458E-01  1.00000E+00  9.83334E-03  3.22740E-04  7.50482E-03 -1.62059E-04 -1.12028E-03  4.87341E-03 -6.47043E-04  2.32190E-06 -2.02778E-03  7.90857E-03   -19502.9098715752
        -9953  3.32180E+00  3.22751E+00 -6.18504E-01 -1.98294E-01  7.26756E-01  1.14069E+00  3.34959E-01  1.95522E-01  7.03986E-01  2.31095E+00  9.86804E-02  1.00000E+00  9.98747E-03  4.38164E-04  6.82759E-03  7.77402E-04 -6.83095E-04  4.31675E-03 -1.46395E-03  1.48037E-04 -1.61580E-03  8.07182E-03   -19550.0092024729
        -9952  3.29030E+00  3.28085E+00 -6.04326E-01 -2.18922E-01  7.56621E-01  1.09365E+00  3.29609E-01  2.11093E-01  7.02981E-01  2.31294E+00  1.01908E-01  1.00000E+00  1.06617E-02  1.03303E-04  6.43808E-03  1.06536E-03 -6.42336E-04  4.59421E-03 -1.55369E-03  1.05013E-04 -1.98192E-03  8.40347E-03   -19496.1962939106
        -9951  3.26915E+00  3.28286E+00 -6.01181E-01 -2.15997E-01  7.76061E-01  1.17087E+00  3.26135E-01  1.83900E-01  6.96615E-01  2.30751E+00  1.01908E-01  1.00000E+00  1.03134E-02 -1.02798E-04  6.80530E-03  1.15439E-03 -5.77568E-04  4.40401E-03 -1.30875E-03 -2.45274E-04 -1.64944E-03  8.16899E-03   -19465.9983041468
